CDA3	45.396667	-63.215556	CDA3
CDA4	47.716228	-64.881617	CDA4
CDA5	47.775525	-59.312586	CDA5
CDA6	46.459444	-67.564722	CDA6
CDC5	52.010833	-121.211111	CDC5
CDF3	47.809722	-79.811111	CDF3
CDF5	43.632403	-80.356472	CDF5
CDF6	43.896728	-80.520106	CDF6
CDG3	43.836389	-81.606667	CDG3
CDH3	43.962222	-65.994167	CDH3
CDH6	42.884611	-80.406167	CDH6
CDJ4	46.713561	-66.829192	CDJ4
CDJ5	51.133706	-113.559697	CDJ5
CDK2	64.511353	-110.289728	CDK2
CDL8	45.409375	-62.618750	CDL8
CDM2	51.653194	-114.352917	CDM2
CDO2	51.295333	-112.610500	CDO2
CDS2	50.635775	-105.035917	CDS2
CDT5	46.509364	-64.693808	CDT5
CDT8	55.809167	-117.893056	CDT8
CDT9	50.044022	-79.746025	CDT9
CDU5	44.454583	-78.630278	CDU5
CDU6	46.552389	-66.093375	CDU6
CDU7	44.571389	-79.223889	CDU7
CDV2	47.752956	-67.426558	CDV2
CDW2	46.164228	-60.784194	CDW2
CDY3	49.657403	-54.237436	CDY3
CDY6	44.381944	-64.457500	CDY6
CEA3	51.711169	-114.106733	CEA3
CEA5	52.646639	-111.385458	CEA5
CEA6	49.162500	-113.241111	CEA6
CEB4	51.177778	-113.279167	CEB4
CEB5	56.081267	-118.433286	CEB5
CEB8	42.186667	-82.782222	CEB8
CEC3	58.473131	-114.544289	CEC3
CEC4	53.318942	-117.753392	CEC4
CED3	51.334167	-110.491389	CED3
CED4	54.380000	-116.765556	CED4
CED5	49.826486	-112.184794	CED5
CEE4	53.381389	-117.701111	CEE4
CEE5	55.961453	-113.818283	CEE5
CEE6	53.471111	-113.154444	CEE6
CEE8	53.109444	-111.864444	CEE8
CEF3	49.883333	-111.333333	CEF3
CEF4	51.263822	-113.934514	CEF4
CEG3	52.488475	-113.711778	CEG3
CEG4	51.496314	-112.748592	CEG4
CEG5	56.952500	-113.495556	CEG5
CEG8	58.969411	-99.975081	CEG8
CEH2	50.722500	-114.179444	CEH2
CEH3	52.651850	-113.604439	CEH3
CEH4	50.822000	-113.824333	CEH4
CEH5	56.546167	-115.275667	CEH5
CEH6	52.337944	-110.278664	CEH6
CEJ3	52.309931	-112.754322	CEJ3
CEJ4	50.004722	-113.630000	CEJ4
CEJ6	53.892939	-110.772775	CEJ6
CEK2	61.484444	-135.776389	CEK2
CEK6	52.795667	-111.760567	CEK6
CEL3	44.661111	-80.944167	CEL3
CEL4	51.631389	-111.904167	CEL4
CEL5	55.032994	-117.294508	CEL5
CEL6	53.709867	-111.788281	CEL6
CEL8	52.718739	-76.080392	CEL8
CEM3	63.131803	-117.246081	CEM3
CEM4	52.078611	-114.027500	CEM4
CEM5	54.670808	-115.414869	CEM5
CEN2	50.800000	-112.466667	CEN2
CEN3	51.696414	-113.209339	CEN3
CEN4	50.533242	-113.841403	CEN4
CEN5	54.477583	-110.269075	CEN5
CEN6	50.033333	-112.083333	CEN6
CEP3	54.096881	-114.438842	CEP3
CEP4	48.998333	-111.978333	CEP4
CEP5	55.900000	-110.733333	CEP5
CEP6	49.293400	-112.189133	CEP6
CEQ3	53.039817	-112.816244	CEQ3
CEQ4	48.998669	-112.776231	CEQ4
CER2	52.216667	-111.933333	CER2
CER3	53.263281	-114.958550	CER3
CES2	45.911389	-73.672500	CES2
CES4	54.141789	-113.740339	CES4
CES5	43.292083	-81.465417	CES5
CET2	55.696050	-111.279325	CET2
CET4	61.866667	-121.366111	CET4
CET9	61.522372	-120.624875	CET9
CEU2	55.184461	-119.447492	CEU2
CEU9	60.423500	-121.269597	CEU9
CEV2	57.850000	-113.250000	CEV2
CEV3	53.513944	-112.027419	CEV3
CEV5	53.937353	-115.178561	CEV5
CEV7	53.371111	-112.696667	CEV7
CEV9	63.433333	-116.183333	CEV9
CEW2	52.000278	-106.116111	CEW2
CEW3	53.993733	-111.377947	CEW3
CEW5	49.133333	-112.050000	CEW5
CEX3	52.964931	-113.411094	CEX3
CEX4	62.110833	-136.178389	CEX4
CEX9	50.419444	-113.540833	CEX9
CEY3	49.700000	-113.416667	CEY3
CEZ2	64.903517	-138.277411	CEZ2
CEZ3	53.427528	-113.115567	CEZ3
CEZ4	58.404053	-115.948122	CEZ4
CFA4	60.174167	-134.697778	CFA4
CFA5	56.300000	-112.233333	CFA5
CFA7	62.597197	-111.541350	CFA7
CFB3	52.300000	-114.463611	CFB3
CFB4	56.500000	-114.550000	CFB4
CFB5	57.383333	-112.800000	CFB5
CFB6	53.728064	-113.087197	CFB6
CFC2	57.366667	-111.633333	CFC2
CFC4	63.176178	-130.203542	CFC4
CFC7	52.681944	-114.237500	CFC7
CFC8	43.371375	-79.931911	CFC8
CFD4	49.483056	-111.494444	CFD4
CFF2	55.590000	-111.823056	CFF2
CFF4	66.703056	-119.717222	CFF4
CFG3	52.016667	-110.750000	CFG3
CFG4	55.233333	-118.033333	CFG4
CFG5	58.491389	-115.138333	CFG5
CFH4	45.870106	-63.461131	CFH4
CFH8	53.216667	-114.333333	CFH8
CFK2	52.557500	-112.964722	CFK2
CFK4	55.316667	-113.250000	CFK4
CFK6	51.847572	-114.064583	CFK6
CFL4	44.264986	-80.527667	CFL4
CFL9	57.566667	-110.316667	CFL9
CFM2	57.694942	-111.838850	CFM2
CFM4	55.709344	-117.093908	CFM4
CFM6	56.459444	-114.119167	CFM6
CFM7	54.574028	-112.820556	CFM7
CFM8	49.583333	-113.300000	CFM8
CFN5	58.173006	-116.334253	CFN5
CFN6	55.390606	-111.120297	CFN6
CFN7	51.774672	-114.680969	CFN7
CFP4	63.604889	-137.563606	CFP4
CFP5	54.270833	-111.066667	CFP5
CFP8	60.811775	-135.182294	CFP8
CFQ5	61.028889	-138.407500	CFQ5
CFQ6	62.837503	-136.527694	CFQ6
CFQ7	53.281667	-113.455000	CFQ7
CFR2	52.893333	-112.546111	CFR2
CFR5	46.093244	-80.604042	CFR5
CFR7	51.651389	-115.239167	CFR7
CFS3	62.768333	-137.384722	CFS3
CFS4	65.674389	-138.115675	CFS4
CFS5	55.783611	-118.839722	CFS5
CFS6	57.140833	-115.073889	CFS6
CFS7	62.619275	-131.270139	CFS7
CFS8	51.988056	-115.228333	CFS8
CFT2	50.552500	-113.596667	CFT2
